,harmonic_centrality,eigenvector_centrality,betweenness_centrality,closeness_centrality,load_centrality,katz_centrality_numpy,pagerank,information_centrality,global_reaching_centrality
2AMADPTm,3001.766666666915,0.00020465077577657608,1.4047192725377525e-05,0.37486067484040936,4.507999482645149e-05,0.01157810431275976,0.0001351348375363355,0.000757086360323758,0.2110179478678302
2DR1PP,3804.633333333575,0.014841331427136034,0.0002418699477793494,0.4546236559139785,0.00027362977853986675,0.01167815431191031,0.00013513546941042756,0.0008075405945835854,0.2110179478678302
2HBO,4056.383333333538,0.024473307698147533,0.0002902899960283025,0.47843517620433235,0.0002699430262834238,0.011723519602564667,0.0001351354464766192,0.0008090532872301779,0.2110179478678302
2HBt2,4104.383333333523,0.024505585373607062,0.0009872724765113325,0.48492594049023463,0.0008604673975382099,0.011729083271455998,0.00013513592026233808,0.0008091832419963233,0.2110179478678302
2HCO3_NAt,3385.5833333337932,0.0010978150243173333,0.0014760853092391673,0.39988110036210345,0.0015752087682006988,0.011652546724888366,0.0001351361317630137,0.0008058878075928341,0.2110179478678302
2MCITt,2665.0166666665814,2.0658269504694858e-05,0.000270306798215975,0.340826385370123,0.00027030679821597514,0.011568701992923813,0.0001351351358896585,0.00011586765654589086,0.2110179478678302
2OXOADOXm,3178.242857143155,0.0018306923028194755,0.00011437061378726383,0.3700240048009602,9.629129118076154e-05,0.011642662987816696,0.00013513574952521234,0.000805018805908311,0.2110179478678302
2OXOADPTm,2999.7666666669124,0.00020592887587488474,1.2427373503900063e-05,0.3745949777237748,3.8374145582804786e-05,0.011578104959432432,0.00013513467106081949,0.0007571688064528017,0.2110179478678302
34DHOXPEGOX,4049.383333333539,0.02447031089895577,0.0005543222927333582,0.4778172424927349,0.0005525413018073201,0.011722246363500792,0.0001351356966721711,0.0008090218948601271,0.2110179478678302
34DHOXPEGt,2530.7428571426562,1.7529905897275205e-05,0.0002703067982159753,0.32336873388400855,0.0002703067982159752,0.011568701430471411,0.0001351351361674891,0.00011584719559451521,0.2110179478678302
34DHPHAMT,4048.9333333335408,0.024449053113822873,9.786334109194596e-05,0.4780951150168002,7.735745460001465e-05,0.011721896920635863,0.00013513522992189238,0.0008090137092951835,0.2110179478678302
34DHPHEt,2671.3666666665586,5.211431299873593e-05,2.6251305289283054e-05,0.3398869952685011,6.85589738905525e-05,0.011569399173331725,0.00013513459472398395,0.0004479821372644212,0.2110179478678302
34DHPLACOX,4302.849999999939,0.028534687291824283,9.737668829202605e-05,0.5042251601471991,7.307909089267472e-05,0.011765960614470553,0.0001351355427413646,0.0008098463851785462,0.2110179478678302
34DHPLACOX_NADP,4300.183333333277,0.02853089235794757,8.359581962001871e-05,0.5040190735694823,6.089570492884007e-05,0.011765381531142809,0.00013513549274805814,0.0008098377241195359,0.2110179478678302
34DHXMANDACOX,4302.849999999939,0.028534687291824283,9.737668829202605e-05,0.5042251601471991,7.307909089267472e-05,0.011765960614470553,0.0001351355427413646,0.0008098463851785295,0.2110179478678302
34DHXMANDACOX_NADP,4300.183333333277,0.02853089235794757,8.359581962001871e-05,0.5040190735694823,6.089570492884007e-05,0.011765381531142809,0.00013513549274805816,0.0008098377241195431,0.2110179478678302
34HPLFM,3100.459523809746,0.0018117931081031448,2.2643902848585e-06,0.36365870441364395,2.4462216555516686e-06,0.011632110155305372,0.0001351349477614177,0.0008037748420736834,0.2110179478678302
34HPPOR,3147.966666667043,0.00484632210888694,0.0003277026845764644,0.38540472965933953,0.0002980871920374204,0.011607008271445245,0.0001351348637339665,0.0007981123382363409,0.2110179478678302
35CGMPtn,2671.983333333229,5.901156486761817e-05,7.280035270631815e-07,0.3402777777777778,8.88139064472585e-06,0.01156893701611003,0.00013513380013598593,0.00032387270783193424,0.2110179478678302
3AIBt,1559.3813492065922,7.698041305098089e-11,0.00027030679821597546,0.20518580144204104,0.00027030679821597514,0.01156869989533735,0.0001351358108108108,6.198230540309351e-05,0.2110179478678302
3AIBTm,2785.0928571428303,0.00013907923372851353,0.0008120097476629347,0.3478608368594264,0.000812901555366844,0.011576255643122604,0.00013513505281237395,0.0007442487620737823,0.2110179478678302
3AIBtm,1991.8059523810382,1.018485116120653e-07,0.0005405405207903678,0.2581286631314541,0.0005405405207903672,0.011568699972047911,0.00013513447962888261,0.00011444742180980313,0.2110179478678302
3DPHBH1,3223.2833333336985,0.0018695675580614169,2.873211420705268e-05,0.3776734214690419,4.593937014046008e-05,0.01164243723144434,0.00013513554736251606,0.0008049973458337833,0.2110179478678302
3DPHBH2,3220.1166666670288,0.0018666956731339126,2.8029386542502378e-05,0.3773844741405692,4.364734095962748e-05,0.011642089123481908,0.00013513553924166533,0.0008049613610612161,0.2110179478678302
3DSPHR,4046.2166666668727,0.024456137366948363,6.003475745313226e-05,0.4776013426284534,5.756943337652185e-05,0.011721550464503403,0.00013513523987676693,0.0008090053348146688,0.2110179478678302
3HAO,3008.9833333335596,0.00357489277099219,6.67490153788424e-08,0.370765684505913,2.598365550763917e-07,0.011597055811908195,0.00013513421969586696,0.0007931627016144444,0.2110179478678302
3HBCDm,2945.2333333334545,0.0003775081335981088,4.362575066274223e-05,0.35884378485862556,7.802999495442871e-05,0.011601982006096434,0.00013513524757279735,0.0007959299302850265,0.2110179478678302
3HBCOAHLm,3269.266666667074,0.0018794145608591745,0.00011638670063494109,0.3811559859880486,9.520013382381555e-05,0.011649746117657645,0.00013513568511986057,0.0008056772515712157,0.2110179478678302
3HKYNAKGAT,3103.833333333699,0.001283778789672818,1.0101009927854588e-05,0.38701747044669943,1.1612847806836052e-05,0.011583556353013884,0.00013513444135935263,0.0007763514787278464,0.2110179478678302
3HLYTCL,4064.9666666668727,0.02460414159361996,0.0002837465743963335,0.47917880966258664,0.00027958943793774847,0.011725386146300237,0.00013513549665714053,0.0008090972480887597,0.2110179478678302
3HPCOAHYD,4392.8499999997775,0.028827982700611172,0.0004294797076541807,0.5166538649535647,0.0003908545438975797,0.011777687375916572,0.00013513593193954836,0.0008100101616428827,0.2110179478678302
3HPPD,4047.7166666668727,0.02444923104564618,1.3509942595745166e-05,0.47769384724643293,1.1778851912076684e-05,0.011721897073627299,0.00013513501816065404,0.0008090142204717245,0.2110179478678302
